LAD19CD,ethnicity,population,proportion
E07000008,Other ethnic group,2003.0,0.0161705700469051
E07000008,White,102205.0,0.825118877505712
E07000009,Asian/Asian British,1215.0,0.0144956930492257
E07000009,Black/African/Caribbean/Black British,506.0,0.00603688945095326
E07000009,Mixed/multiple ethnic group,1182.0,0.0141019828676418
E07000009,Other ethnic group,242.0,0.00288720799828199
E07000009,White,80673.0,0.962478226633897
E07000010,Asian/Asian British,1075.0,0.0112846675484453
E07000010,Black/African/Caribbean/Black British,497.0,0.00521719048518822
E07000010,Mixed/multiple ethnic group,901.0,0.0094581260103714
E07000010,Other ethnic group,158.0,0.00165858369549243
E07000010,White,92631.0,0.972381432260503
E07000011,Asian/Asian British,4190.0,0.0247185973523374
E07000011,Black/African/Caribbean/Black British,1642.0,0.00968685843735989
E07000011,Mixed/multiple ethnic group,2530.0,0.0149255492366142
E07000011,Other ethnic group,455.0,0.00268423909196026
E07000011,White,160691.0,0.947984755881728
E07000012,Asian/Asian British,5540.0,0.0372424456320796
E07000012,Black/African/Caribbean/Black British,1268.0,0.00852408322409331
E07000012,Mixed/multiple ethnic group,2524.0,0.0169674968908608
E07000012,Other ethnic group,636.0,0.00427548653826762
E07000012,White,138787.0,0.932990487714699
E07000026,Asian/Asian British,477.0,0.00494700379581423
E07000026,Black/African/Caribbean/Black British,73.0,0.000757088631225239
E07000026,Mixed/multiple ethnic group,426.0,0.00441807886167057
E07000026,Other ethnic group,61.0,0.000632635705544378
E07000026,White,95385.0,0.989245193005746
E07000027,Asian/Asian British,633.0,0.00916236050197577
E07000027,Black/African/Caribbean/Black British,70.0,0.00101321522138753
E07000027,Mixed/multiple ethnic group,360.0,0.00521082113856442
E07000027,Other ethnic group,84.0,0.00121585826566503
E07000027,White,67940.0,0.983397744872407
E07000028,Asian/Asian British,1248.0,0.0116067110598564
E07000028,Black/African/Caribbean/Black British,147.0,0.00136713663926193
E07000028,Mixed/multiple ethnic group,535.0,0.0049756333469737
E07000028,Other ethnic group,114.0,0.0010602284141215
E07000028,White,105480.0,0.980990290539786
E07000029,Asian/Asian British,629.0,0.0089089698738014
E07000029,Black/African/Caribbean/Black British,84.0,0.00118975114371911
E07000029,Mixed/multiple ethnic group,339.0,0.0048014956871521
E07000029,Other ethnic group,60.0,0.000849822245513647
E07000029,White,69491.0,0.984249961049814
E07000030,Asian/Asian British,292.0,0.00555513279050301
E07000030,Black/African/Caribbean/Black British,22.0,0.000418537402024199
E07000030,Mixed/multiple ethnic group,211.0,0.00401415417395936
E07000030,Other ethnic group,40.0,0.000760977094589453
E07000030,White,51999.0,0.989251198538924
E07000031,Asian/Asian British,787.0,0.00759227459530379
E07000031,Black/African/Caribbean/Black British,183.0,0.00176542090335526
E07000031,Mixed/multiple ethnic group,633.0,0.00610661984603214
E07000031,Other ethnic group,93.0,0.000897181114819888
E07000031,White,101962.0,0.983638503540489
E07000032,Asian/Asian British,929.0,0.0075955162743543
E07000032,Black/African/Caribbean/Black British,253.0,0.00206853134274665
E07000032,Mixed/multiple ethnic group,980.0,0.0080124929481886
E07000032,Other ethnic group,124.0,0.00101382563834223
E07000032,White,120023.0,0.981309633796368
E07000033,Asian/Asian British,612.0,0.00806685471752827
E07000033,Black/African/Caribbean/Black British,267.0,0.0035193630875491
E07000033,Mixed/multiple ethnic group,518.0,0.00682782801254844
E07000033,Other ethnic group,17.0,0.000224079297709119
E07000033,White,74452.0,0.981361874884665
E07000034,Asian/Asian British,1592.0,0.0153389601880757
E07000034,Black/African/Caribbean/Black British,782.0,0.00753458974062512
E07000034,Mixed/multiple ethnic group,1094.0,0.0105407176166802
E07000034,Other ethnic group,148.0,0.00142598373607739
E07000034,White,100172.0,0.965159748718542
E07000035,Asian/Asian British,398.0,0.00559649024129591
E07000035,Black/African/Caribbean/Black British,87.0,0.00122335339445413
E07000035,Mixed/multiple ethnic group,466.0,0.00655267450362788
E07000035,Other ethnic group,48.0,0.00067495359694021
E07000035,White,70117.0,0.985952528263682
E07000036,Asian/Asian British,1383.0,0.0123392903346687
E07000036,Black/African/Caribbean/Black British,536.0,0.00478225569008128
E07000036,Mixed/multiple ethnic group,1269.0,0.0113221687886439
E07000036,Other ethnic group,128.0,0.00114203120957165
E07000036,White,108765.0,0.970414253977035
E07000037,Asian/Asian British,711.0,0.0078224706244774
E07000037,Black/African/Caribbean/Black British,184.0,0.00202438058354971
E07000037,Mixed/multiple ethnic group,944.0,0.0103859525590811
E07000037,Other ethnic group,99.0,0.00108920477049685
E07000037,White,88954.0,0.978677991462395
E07000038,Asian/Asian British,795.0,0.00802843783767408
E07000038,Black/African/Caribbean/Black British,236.0,0.00238328469143532
E07000038,Mixed/multiple ethnic group,786.0,0.00793754986215324
E07000038,Other ethnic group,122.0,0.0012320370015047
E07000038,White,97084.0,0.980418690607233
E07000039,Asian/Asian British,2375.0,0.0251027893162529
E07000039,Black/African/Caribbean/Black British,425.0,0.00449207808817157
E07000039,Mixed/multiple ethnic group,1062.0,0.0112249104226781
E07000039,Other ethnic group,222.0,0.00234645020135079
E07000039,White,90527.0,0.956833771971547
E07000040,Asian/Asian British,930.0,0.00702114648527447
E07000040,Black/African/Caribbean/Black British,146.0,0.00110224450198932
E07000040,Mixed/multiple ethnic group,904.0,0.00682485636848185
E07000040,Other ethnic group,130.0,0.000981450583963098
